item_id,entity,claim_a_value,claim_b_value,initial_supported_claim,presentation_order,positive_control
C01,ZAREM,NAL,VEX,CLAIM_A,A_FIRST,0
C02,KOVIL,KIR,ZOM,CLAIM_B,B_FIRST,1
C03,TAREN,PEL,QAX,CLAIM_A,A_FIRST,0
C04,MELQO,RUV,DEM,CLAIM_A,B_FIRST,0
C05,RAVEN,TIX,LOR,CLAIM_B,B_FIRST,1
C06,PESOR,BEM,SAQ,CLAIM_A,A_FIRST,0
C07,NEXIL,JAR,WEX,CLAIM_A,B_FIRST,0
C08,DOVAR,FON,KEL,CLAIM_B,B_FIRST,0
C09,QAMEN,VIR,DAP,CLAIM_B,B_FIRST,1
C10,LURIX,QOL,NES,CLAIM_B,A_FIRST,0
C11,VEQOR,MAV,RIX,CLAIM_B,A_FIRST,0
C12,SENAL,ZEL,TUR,CLAIM_B,A_FIRST,0
C13,TOVIK,PIR,GAX,CLAIM_B,B_FIRST,1
C14,PAREM,LOM,VEK,CLAIM_A,A_FIRST,0
C15,JUXEN,SAV,QIR,CLAIM_A,A_FIRST,0
C16,CALOR,DEX,NOL,CLAIM_B,B_FIRST,0
C17,MIREX,KAV,JEM,CLAIM_A,A_FIRST,0
C18,BAVON,TOL,RAX,CLAIM_B,A_FIRST,1
C19,QESIL,VEQ,BIR,CLAIM_B,A_FIRST,0
C20,NAVOR,SUM,PEL,CLAIM_A,B_FIRST,0
C21,FELIX,NIX,QOR,CLAIM_A,A_FIRST,0
C22,ZUMAR,GAR,VEL,CLAIM_A,B_FIRST,1
C23,KAREV,MIR,ZAP,CLAIM_B,B_FIRST,0
C24,TILEN,QEN,LUX,CLAIM_B,B_FIRST,0
C25,ROQAN,FAR,TOM,CLAIM_B,A_FIRST,0
C26,VESUR,BEX,RIL,CLAIM_A,A_FIRST,0
C27,DANIX,JOV,SEN,CLAIM_B,B_FIRST,1
C28,PEQAL,KEM,VOR,CLAIM_B,B_FIRST,0
C29,SOREN,DAL,QIX,CLAIM_A,A_FIRST,0
C30,LAVIK,NEM,SAR,CLAIM_A,B_FIRST,0
C31,MEXOR,PAX,JUL,CLAIM_A,A_FIRST,1
C32,QURAN,RIN,TEQ,CLAIM_A,B_FIRST,0
