item_id,entity,claim_a_value,claim_b_value,initial_supported_claim,presentation_order,positive_control
D01,ARVEX,RIM,TOV,CLAIM_A,B_FIRST,1
D02,BELOR,KEX,LUR,CLAIM_A,A_FIRST,0
D03,CAVEN,PAV,ZIR,CLAIM_B,A_FIRST,0
D04,DUREX,MON,QEL,CLAIM_B,A_FIRST,1
D05,ELVAR,VEX,DAR,CLAIM_A,A_FIRST,0
D06,FENOR,SIL,KOR,CLAIM_A,A_FIRST,0
D07,GAVIX,JEM,NAX,CLAIM_B,B_FIRST,0
D08,HOREL,TIR,BOL,CLAIM_B,A_FIRST,1
D09,IVARO,QAV,MEX,CLAIM_B,B_FIRST,0
D10,JENIX,LON,PIR,CLAIM_B,B_FIRST,0
D11,KORAL,ZEM,RUX,CLAIM_B,B_FIRST,0
D12,LUMEX,KAL,VOR,CLAIM_A,B_FIRST,1
D13,MARON,NIR,TEX,CLAIM_B,A_FIRST,0
D14,NOVEL,BAV,QOM,CLAIM_B,B_FIRST,0
D15,ORVIX,SEN,LIX,CLAIM_A,B_FIRST,0
D16,PENAR,GUR,PAX,CLAIM_B,B_FIRST,0
D17,QUVEX,MOR,VEQ,CLAIM_A,B_FIRST,1
D18,RALON,TAL,JEX,CLAIM_A,A_FIRST,0
D19,SAVIR,RIN,ZAV,CLAIM_A,B_FIRST,0
D20,TOREN,KUM,FEL,CLAIM_A,A_FIRST,0
D21,ULVEX,PEX,NOR,CLAIM_B,B_FIRST,1
D22,VARON,VIL,QAR,CLAIM_A,A_FIRST,0
D23,WEXIL,DEM,SUX,CLAIM_B,B_FIRST,0
D24,XANOR,JOV,REL,CLAIM_A,A_FIRST,0
D25,YAREL,NEX,TAM,CLAIM_A,B_FIRST,0
D26,ZOVIN,QIR,BEX,CLAIM_A,A_FIRST,1
D27,ABRIX,LOV,ZUR,CLAIM_B,A_FIRST,0
D28,BESON,MAL,PEN,CLAIM_B,A_FIRST,0
D29,CUREL,RAX,JIM,CLAIM_A,B_FIRST,0
D30,DAVOR,SOL,VEK,CLAIM_B,A_FIRST,1
D31,ERQIN,TUN,QES,CLAIM_A,A_FIRST,0
D32,FALOR,KIR,DAX,CLAIM_B,B_FIRST,0
