item_id,entity,claim_a_value,claim_b_value,initial_supported_claim,presentation_order,positive_control
E01,AUREN,NAL,QEX,CLAIM_B,A_FIRST,0
E02,BEXOR,VIR,TOM,CLAIM_B,B_FIRST,0
E03,CIRAN,PEL,ZAR,CLAIM_A,B_FIRST,1
E04,DAVEL,KUV,MEX,CLAIM_A,A_FIRST,0
E05,EQRON,RIN,BOL,CLAIM_A,B_FIRST,0
E06,FALIX,SAV,QUR,CLAIM_B,A_FIRST,0
E07,GERON,JEX,NIL,CLAIM_B,B_FIRST,1
E08,HUVEX,TAR,VOM,CLAIM_A,B_FIRST,0
E09,ILMAR,QIV,LAX,CLAIM_A,A_FIRST,0
E10,JOREN,NUR,PEM,CLAIM_B,B_FIRST,0
E11,KAVIL,ZEL,KOR,CLAIM_A,B_FIRST,1
E12,LERON,MAV,RIX,CLAIM_A,A_FIRST,0
E13,MUREX,DOV,SEN,CLAIM_B,B_FIRST,0
E14,NALOR,KEL,PAX,CLAIM_B,A_FIRST,0
E15,OREVI,VEX,JOR,CLAIM_A,B_FIRST,1
E16,PAVEN,TUN,QAL,CLAIM_A,A_FIRST,0
E17,QELOR,RAV,MIR,CLAIM_A,A_FIRST,0
E18,RAVIX,PEX,DOL,CLAIM_B,B_FIRST,0
E19,SELON,SIR,NAX,CLAIM_A,B_FIRST,0
E20,TAVIR,GEM,VOQ,CLAIM_B,A_FIRST,1
E21,UREXO,LUR,BEX,CLAIM_B,A_FIRST,0
E22,VALEN,QON,TIL,CLAIM_B,A_FIRST,0
E23,WORIX,ZUM,REK,CLAIM_A,B_FIRST,0
E24,XELAR,MOL,VAX,CLAIM_A,A_FIRST,1
E25,YOVEN,JIR,QES,CLAIM_A,A_FIRST,0
E26,ZAREX,NEM,TOV,CLAIM_B,B_FIRST,0
E27,AMVOR,KAR,LUX,CLAIM_B,A_FIRST,0
E28,BIREN,PEN,ZIX,CLAIM_B,B_FIRST,1
E29,COVAL,VOR,DAL,CLAIM_A,B_FIRST,0
E30,DUREN,QIM,SER,CLAIM_B,A_FIRST,0
E31,EVRIX,FEX,NAR,CLAIM_B,B_FIRST,0
E32,FARON,TUL,JOM,CLAIM_A,A_FIRST,1
