item_id,entity,claim_a_value,claim_b_value,initial_supported_claim,presentation_order
P5201,ILYRA,DEX,VUP,CLAIM_A,A_FIRST
P5202,KORVEN,MIB,ZAT,CLAIM_A,B_FIRST
P5203,NUVEX,ROL,KIP,CLAIM_A,A_FIRST
P5204,YALEN,TUF,QOM,CLAIM_A,B_FIRST
P5205,ZERON,BAK,NIV,CLAIM_A,A_FIRST
P5206,CALYX,WER,JOD,CLAIM_A,B_FIRST
P5207,DORAN,PEV,LUX,CLAIM_B,A_FIRST
P5208,ELMIR,GAF,ROX,CLAIM_B,B_FIRST
P5209,FAVEN,QIR,SOM,CLAIM_B,A_FIRST
P5210,GULOR,NEX,TAV,CLAIM_B,B_FIRST
P5211,HESPA,VOL,ZIM,CLAIM_B,A_FIRST
P5212,JURIX,KAD,BEQ,CLAIM_B,B_FIRST
