item_id,entity,claim_a_value,claim_b_value,initial_supported_claim,presentation_order
R7I001,FXYJVXOZ,YJJBH,HNZVP,CLAIM_B,B_FIRST
R7I002,FXOQJQOH,5QFCW,ZTNFH,CLAIM_A,B_FIRST
R7I003,BXUZTQEQ,ZQXN5,6F4T5,CLAIM_B,B_FIRST
R7I004,WZUYMQOG,897NX,9JH2W,CLAIM_A,A_FIRST
R7I005,SZUCXQAB,5865F,42RWH,CLAIM_A,A_FIRST
R7I006,KXEFVXEQ,26DYC,55NCT,CLAIM_A,A_FIRST
R7I007,GZOJJQEB,PG9Q5,GDWBK,CLAIM_B,B_FIRST
R7I008,BXIYFXYB,5QK49,J3FTD,CLAIM_B,A_FIRST
R7I009,BXUYTQYH,MBTXG,TB733,CLAIM_B,A_FIRST
R7I010,VXUZKXAZ,2JYB6,F8T3T,CLAIM_A,B_FIRST
R7I011,KXAQTQUB,44FCP,JFJC7,CLAIM_A,B_FIRST
R7I012,BXEQQXAZ,RK4GK,7F8M2,CLAIM_B,A_FIRST
